1;Samsung;Smart TV;2023-01-15;Preto;2999.99;Áudio e Vídeo;15.0
2;Apple;iPhone 14;2023-09-10;Prata;7999.99;Dispositivos Móveis;0.174
3;Sony;PlayStation 5;2022-11-12;Branco;4999.99;Equipamentos de Jogos;4.5
4;LG;Refrigerador;2022-05-30;Inox;3499.99;Eletrodomésticos;70.0
5;Dell;Laptop Inspiron;2023-02-20;Preto;3799.99;Computadores e Acessórios;1.8
8;Motorola;Moto G Power;2023-05-10;Verde;1899.99;Dispositivos Móveis;0.204
9;Bose;Fones de Ouvido QuietComfort;2022-08-25;Preto;1999.99;Áudio e Vídeo;0.3
10;Canon;Câmera EOS Rebel;2023-03-15;Preto;2999.99;Câmeras e Equipamentos Fotográficos;0.8
11;Samsung;Micro-ondas Grill;2023-01-20;Branco;799.99;Eletrodomésticos;15.5
12;Philips;Aspirador de Pó Sem Fio;2022-12-01;Azul;1499.99;Eletrodomésticos;2.6
13;LG;Ar Condicionado Split;2023-06-10;Branco;2999.99;Eletrodomésticos;30.0
14;Apple;iPad Pro;2023-07-15;Prata;4999.99;Dispositivos Móveis;0.468
15;Sony;Soundbar;2022-09-18;Preto;1299.99;Áudio e Vídeo;2.9
16;Western Digital;HD Externo 1TB;2023-02-11;Preto;499.99;Dispositivos de Armazenamento;0.15
17;TP-Link;Roteador Wi-Fi 6;2023-03-22;Branco;299.99;Equipamentos de Rede;0.3
18;Fitbit;Smartwatch Versa 3;2023-01-05;Azul;1199.99;Equipamentos de Fitness e Saúde;0.037
19;Nest;Câmera de Segurança;2023-04-25;Branco;899.99;Equipamentos de Segurança;0.3
20;Bosch;Medidor de Distância a Laser;2023-08-15;Vermelho;699.99;Ferramentas e Equipamentos de Medição;0.2
21;Intel;Processador Core i9;2023-06-18;Prata;2499.99;Componentes Eletrônicos;0.02

